Unnamed: 0,Unnamed: 1,Unnamed: 2,The 2016 Keystone Exams - Best Score Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,,
,,,Data for groups with 10 or fewer students were replaced by blanks. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,,
,,,,,,,,,,,,,
Year,AUN,School Number,County,District,School,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2016,103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,11,139,14.4,39.6,41.7,4.3
2016,103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,Historically Underperforming,11,41,2.4,31.7,53.7,12.2
2016,103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,All Students,11,145,33.1,37.2,18.6,11
2016,103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,Historically Underperforming,11,43,18.6,25.6,34.9,20.9
2016,103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,All Students,11,146,7.5,79.5,11,2.1
2016,103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,Historically Underperforming,11,43,2.3,67.4,23.3,7
2016,103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,11,113,12.4,30.1,33.6,23.9
2016,103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,68,2.9,22.1,41.2,33.8
2016,103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,11,112,17,36.6,16.1,30.4
2016,103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,68,7.4,32.4,19.1,41.2
2016,103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,11,115,0,56.5,29.6,13.9
2016,103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,11,70,0,38.6,41.4,20
2016,103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,All Students,11,166,15.7,58.4,23.5,2.4
2016,103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,Historically Underperforming,11,63,11.1,46,36.5,6.3
2016,103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,All Students,11,163,30.1,45.4,16.6,8
2016,103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,Historically Underperforming,11,62,17.7,37.1,29,16.1
2016,103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,All Students,11,159,14.5,65.4,14.5,5.7
2016,103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,Historically Underperforming,11,58,8.6,51.7,27.6,12.1
2016,103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Algebra I,All Students,11,19,5.3,21.1,42.1,31.6
2016,103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Algebra I,Historically Underperforming,11,16,6.3,25,31.3,37.5
2016,103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Biology,All Students,11,18,5.6,16.7,33.3,44.4
2016,103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Biology,Historically Underperforming,11,15,6.7,13.3,33.3,46.7
2016,103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Literature,All Students,11,12,0,41.7,50,8.3
2016,103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Literature,Historically Underperforming,11,12,0,41.7,50,8.3
2016,103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,All Students,11,319,36.4,56.7,6,0.9
2016,103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,Historically Underperforming,11,62,21,61.3,12.9,4.8
2016,103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,All Students,11,318,55.3,38.4,5.3,0.9
2016,103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,Historically Underperforming,11,62,29,51.6,14.5,4.8
2016,103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,All Students,11,317,24,72.6,2.2,1.3
2016,103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,Historically Underperforming,11,62,8.1,77.4,8.1,6.5
2016,103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,11,270,17,62.6,17.8,2.6
2016,103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,11,116,7.8,55.2,31,6
2016,103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Biology,All Students,11,272,37.1,39.3,16.2,7.4
2016,103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,11,117,23.1,40.2,22.2,14.5
2016,103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Literature,All Students,11,270,21.5,60.7,13.3,4.4
