Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,117089003.0,Wyalusing Area SD,Bradford,22256117.57,9558834.389999999,415317.88,9974152.27,0.4482,11851774.05,0.5325,430191.25,0.0193,,0.0
1.0,122091002.0,Bensalem Township SD,Bucks,141591371.79,104494061.67999998,2714095.3400000003,107208157.02,0.7572,32523087.1,0.2297,1860127.67,0.0131,,0.0
1.0,122091303.0,Bristol Borough SD,Bucks,24464742.66,11594593.990000002,1099346.69,12693940.68,0.5189,10911506.12,0.446,859295.86,0.0351,,0.0
1.0,122091352.0,Bristol Township SD,Bucks,135347554.17,86791095.78999999,2423763.92,89214859.71,0.6592,43191829.65,0.3191,2582697.48,0.0191,358167.33,0.0026
1.0,122092002.0,Centennial SD,Bucks,115089965.09,80959722.6,1831940.01,82791662.61,0.7194,30755807.56,0.2672,984739.92,0.0086,557755.0,0.0048
1.0,122092102.0,Central Bucks SD,Bucks,331023602.35,248226732.34999996,8240673.52,256467405.87,0.7748,72167029.69,0.218,2379629.83,0.0072,9536.96,0.0
1.0,122092353.0,Council Rock SD,Bucks,226003958.0,170144310.44,3208252.71,173352563.15,0.767,51025581.39,0.2258,1625813.46,0.0072,,0.0
1.0,122097203.0,Morrisville Borough SD,Bucks,20497354.0,11986395.0,364227.0,12350622.0,0.6025,7269704.0,0.3547,876461.0,0.0428,567.0,0.0
1.0,122097502.0,Neshaminy SD,Bucks,170816416.16,123814476.07999998,3391711.44,127206187.52,0.7447,42343847.26,0.2479,1263596.38,0.0074,2785.0,0.0
1.0,122097604.0,New Hope-Solebury SD,Bucks,39481891.18,32552592.460000005,421771.27,32974363.73,0.8352,6337851.81,0.1605,146310.2,0.0037,23365.44,0.0006
1.0,122098003.0,Palisades SD,Bucks,42089054.28,31446749.410000004,722339.5499999998,32169088.96,0.7643,9498499.4,0.2257,421465.92,0.01,,0.0
1.0,122098103.0,Pennridge SD,Bucks,134132049.0,99618048.0,2158231.0,101776279.0,0.7588,31004440.0,0.2311,1351330.0,0.0101,,0.0
1.0,122098202.0,Pennsbury SD,Bucks,204905613.17,142596807.52,3669117.3000000003,146265924.82,0.7138,47143124.86,0.2301,1674668.29,0.0082,9821895.2,0.0479
1.0,122098403.0,Quakertown Community SD,Bucks,104272838.49,73334389.45,2389610.7600000002,75724000.21,0.7262,26945414.02,0.2584,603520.68,0.0058,999903.58,0.0096
1.0,104101252.0,Butler Area SD,Butler,99756980.15,47325034.96999999,2506811.95,49831846.92,0.4995,47536317.79,0.4765,2156165.44,0.0216,232650.0,0.0023
1.0,104103603.0,Karns City Area SD,Butler,23599900.92,6679768.34,1000124.5299999999,7679892.87,0.3254,15913167.0,0.6743,3790.05,0.0002,3051.0,0.0001
1.0,104105003.0,Mars Area SD,Butler,45556638.28,31406686.26,955613.3800000001,32362299.64,0.7104,13179338.64,0.2893,15000.0,0.0003,,0.0
1.0,104105353.0,Moniteau SD,Butler,20851431.09,6287227.3500000015,640810.3999999999,6928037.75,0.3323,13783655.06,0.661,36419.76,0.0017,103318.52,0.005
1.0,104107903.0,Seneca Valley SD,Butler,123756025.8,83493512.21,4956990.22,88450502.43,0.7147,34860249.78,0.2817,445273.59,0.0036,,0.0
1.0,104107503.0,Slippery Rock Area SD,Butler,32138450.0,15775120.0,950285.0,16725405.0,0.5204,15413045.0,0.4796,,0.0,,0.0
1.0,104107803.0,South Butler County SD,Butler,35066322.82,19243506.41,876523.5700000001,20120029.98,0.5738,14489172.19,0.4132,457120.65,0.013,,0.0
1.0,108110603.0,Blacklick Valley SD,Cambria,11160987.91,1750059.69,263773.42,2013833.11,0.1804,8669129.47,0.7767,275555.52,0.0247,202469.81,0.0181
1.0,108111203.0,Cambria Heights SD,Cambria,21661694.57,5284112.9399999995,748008.43,6032121.37,0.2785,15236405.9,0.7034,393167.3,0.0182,,0.0
1.0,108111303.0,Central Cambria SD,Cambria,23270846.34,9465115.260000002,684897.06,10150012.32,0.4362,12711298.88,0.5462,409535.14,0.0176,,0.0
1.0,108111403.0,Conemaugh Valley SD,Cambria,12666616.42,2764017.5400000005,194859.32,2958876.86,0.2336,9420147.02,0.7437,287592.54,0.0227,,0.0
1.0,108112003.0,Ferndale Area SD,Cambria,10996553.67,2280967.51,216086.62,2497054.13,0.2271,8044739.76,0.7316,454759.78,0.0414,,0.0
1.0,108112203.0,Forest Hills SD,Cambria,26734872.21,5387712.69,468572.57,5856285.26,0.2191,20195512.41,0.7554,502823.89,0.0188,180250.65,0.0067
1.0,108112502.0,Greater Johnstown SD,Cambria,49272723.31,12993664.75,1236344.9000000001,14230009.65,0.2888,30574434.39,0.6205,4274491.27,0.0868,193788.0,0.0039
1.0,108114503.0,Northern Cambria SD,Cambria,17247770.46,3325125.34,274775.82,3599901.16,0.2087,13252101.21,0.7683,391518.09,0.0227,4250.0,0.0002
1.0,108116003.0,Penn Cambria SD,Cambria,24248550.23,6530916.830000001,701692.6100000001,7232609.44,0.2983,16246521.54,0.67,769419.25,0.0317,,0.0
1.0,108116303.0,Portage Area SD,Cambria,13167413.64,2382246.49,339057.11,2721303.6,0.2067,10112664.04,0.768,333446.0,0.0253,,0.0
1.0,108116503.0,Richland SD,Cambria,21740580.2,13754700.549999999,808255.8200000001,14562956.37,0.6699,6750983.36,0.3105,426640.47,0.0196,,0.0
