Coatesville Area SD	District Zip Code	19372
Coatesville Area SD	Geographic Size of District (Square Miles)	75.82
Cocalico SD	District Address (City)	Denver
Cocalico SD	District Address (Street)	800 4th Street
Cocalico SD	District Name	Cocalico SD
Cocalico SD	District Zip Code	17517
Cocalico SD	Geographic Size of District (Square Miles)	50.85
Colonial SD	District Address (City)	Plymouth Meeting
Colonial SD	District Address (Street)	230 Flourtown Rd
Colonial SD	District Name	Colonial SD
Colonial SD	District Zip Code	19462
Colonial SD	Geographic Size of District (Square Miles)	24.26
Columbia Borough SD	District Address (City)	Columbia
Columbia Borough SD	District Address (Street)	200 N. Fifth St.
Columbia Borough SD	District Name	Columbia Borough SD
Columbia Borough SD	District Zip Code	17512
Columbia Borough SD	Geographic Size of District (Square Miles)	2.42
Commodore Perry SD	District Address (City)	Hadley
Commodore Perry SD	District Address (Street)	3002 Perry Hwy
Commodore Perry SD	District Name	Commodore Perry SD
Commodore Perry SD	District Zip Code	16130
Commodore Perry SD	Geographic Size of District (Square Miles)	74.31
Conemaugh Township Area SD	District Address (City)	Davidsville
Conemaugh Township Area SD	District Address (Street)	300 West Campus Avenue
Conemaugh Township Area SD	District Name	Conemaugh Township Area SD
Conemaugh Township Area SD	District Zip Code	15928
Conemaugh Township Area SD	Geographic Size of District (Square Miles)	54.55
Conemaugh Valley SD	District Address (City)	Johnstown
Conemaugh Valley SD	District Address (Street)	1340 William Penn Avenue
Conemaugh Valley SD	District Name	Conemaugh Valley SD
Conemaugh Valley SD	District Zip Code	15906
Conemaugh Valley SD	Geographic Size of District (Square Miles)	21.57
Conestoga Valley SD	District Address (City)	Lancaster
Conestoga Valley SD	District Address (Street)	2110 Horseshoe Rd
Conestoga Valley SD	District Name	Conestoga Valley SD
Conestoga Valley SD	District Zip Code	17601
Conestoga Valley SD	Geographic Size of District (Square Miles)	56.08
Conewago Valley SD	District Address (City)	New Oxford
Conewago Valley SD	District Address (Street)	130 Berlin Rd
Conewago Valley SD	District Name	Conewago Valley SD
Conewago Valley SD	District Zip Code	17350
Conewago Valley SD	Geographic Size of District (Square Miles)	75.11
Conneaut SD	District Address (City)	Linesville
Conneaut SD	District Address (Street)	219 W School Dr
Conneaut SD	District Name	Conneaut SD
Conneaut SD	District Zip Code	16424
Conneaut SD	Geographic Size of District (Square Miles)	318.57
Connellsville Area SD	District Address (City)	Connellsville
Connellsville Area SD	District Address (Street)	732 Rockridge Rd.
Connellsville Area SD	District Name	Connellsville Area SD
Connellsville Area SD	District Zip Code	15425
Connellsville Area SD	Geographic Size of District (Square Miles)	217.06
Conrad Weiser Area SD	District Address (City)	Robesonia
Conrad Weiser Area SD	District Address (Street)	44 Big Spring Rd
Conrad Weiser Area SD	District Name	Conrad Weiser Area SD
Conrad Weiser Area SD	District Zip Code	19551
Conrad Weiser Area SD	Geographic Size of District (Square Miles)	59.7
Cornell SD	District Address (City)	Coraopolis
Cornell SD	District Address (Street)	1099 Maple Street
Cornell SD	District Name	Cornell SD
Cornell SD	District Zip Code	15108
Cornell SD	Geographic Size of District (Square Miles)	3.81
Cornwall-Lebanon SD	District Address (City)	Lebanon
Cornwall-Lebanon SD	District Address (Street)	105 E Evergreen Rd
Cornwall-Lebanon SD	District Name	Cornwall-Lebanon SD
Cornwall-Lebanon SD	District Zip Code	17042
Cornwall-Lebanon SD	Geographic Size of District (Square Miles)	66.66
Corry Area SD	District Address (City)	Corry
Corry Area SD	District Address (Street)	540 East Pleasant Street
Corry Area SD	District Name	Corry Area SD
Corry Area SD	District Zip Code	16407
Corry Area SD	Geographic Size of District (Square Miles)	210.92
Coudersport Area SD	District Address (City)	Coudersport
Coudersport Area SD	District Address (Street)	698 Dwight Street
Coudersport Area SD	District Name	Coudersport Area SD
Coudersport Area SD	District Zip Code	16915
Coudersport Area SD	Geographic Size of District (Square Miles)	211.94
Council Rock SD	District Address (City)	Newtown
Council Rock SD	District Address (Street)	30 N Chancellor St
Council Rock SD	District Name	Council Rock SD
Council Rock SD	District Zip Code	18940
Council Rock SD	Geographic Size of District (Square Miles)	70.23
Cranberry Area SD	District Address (City)	Seneca
Cranberry Area SD	District Address (Street)	3 Education Dr
Cranberry Area SD	District Name	Cranberry Area SD
Cranberry Area SD	District Zip Code	16346
