PALISADES SD,Kintnersville,39 Thomas Free Dr,18930,100.95
PALMERTON AREA SD,Palmerton,680 Fourth Street,18071,53.55
PALMYRA AREA SD,Palmyra,1125 Park Dr,17078,37.07
PANTHER VALLEY SD,Lansford,1 Panther Way,18232,34.37
PARKLAND SD,Allentown,1210 Springhouse Rd,18104,72.06
PEN ARGYL AREA SD,Pen Argyl,1620 Teels Rd,18072,27.74
PENN CAMBRIA SD,Cresson,201 6th St,16630,109.79
PENN HILLS SD,Pittsburgh,260 Aster St,15235,19.41
PENN MANOR SD,Lancaster,2950 Charlestown Rd,17603,113.36
PENN-DELCO SD,Aston,2821 Concord Rd,19014,7.76
PENN-TRAFFORD SD,Harrison City,1006 Harrison City-Export Rd,15636,34.02
PENNCREST SD,Saegertown,18741 State Hwy 198,16433,407.75
PENNRIDGE SD,Perkasie,1200 N 5th St,18944,92.47
PENNS MANOR AREA SD,Clymer,6003 Route 553 Hwy,15728,81.14
PENNS VALLEY AREA SD,Spring Mills,4528 Penns Valley Road,16875,256.01
PENNSBURY SD,Fallsington,134 Yardley Ave,19058,47.99
PEQUEA VALLEY SD,Kinzers,166 S New Holland Rd,17535,81.28
PERKIOMEN VALLEY SD,Collegeville,3 Iron Bridge Dr,19426,31.12
PETERS TOWNSHIP SD,McMurray,631 E McMurray Rd,15317,19.73
PHILADELPHIA CITY SD,Philadelphia,440 North Broad Street,19130,142.71
PHILIPSBURG-OSCEOLA AREA SD,Philipsburg,200 Short St,16866,224.71
PHOENIXVILLE AREA SD,Phoenixville,386 City Line Ave,19460,21.52
PINE GROVE AREA SD,Pine Grove,103 School St,17963,104.19
PINE-RICHLAND SD,Gibsonia,702 Warrendale Rd,15044,31.61
PITTSBURGH SD,Pittsburgh,341 S Bellefield Ave,15213,57.62
PITTSTON AREA SD,Pittston,5 Stout St,18640,39.29
PLEASANT VALLEY SD,Brodheadsville,2233 Route 115,18322,116.14
PLUM BOROUGH SD,Plum,900 Elicker Road,15239,28.96
POCONO MOUNTAIN SD,Swiftwater,PO Box 200,18370,321.55
PORT ALLEGANY SD,Port Allegany,20 Oak St,16743,170.87
PORTAGE AREA SD,Portage,84 Mountain Ave,15946,25.17
POTTSGROVE SD,Pottstown,1301 Kauffman Rd,19464,15.44
POTTSTOWN SD,Pottstown,230 Beech St,19464,4.96
POTTSVILLE AREA SD,Pottsville,1501 W Laurel Blvd,17901,12.24
PUNXSUTAWNEY AREA SD,Punxsutawney,300 Center St,15767,274.03
PURCHASE LINE SD,Commodore,16559 Route 286 Highway E,15729,145.64
QUAKER VALLEY SD,Leetsdale,100 Leetsdale Industrial Drive,15056,24.2
QUAKERTOWN COMMUNITY SD,Quakertown,100 Commerce Drive,18951,72.33
RADNOR TOWNSHIP SD,Wayne,135 S Wayne Ave,19087,13.79
READING SD,Reading,800 Washington St,19601,10.14
RED LION AREA SD,Red Lion,Red Lion Area Education Center,17356,141.05
REDBANK VALLEY SD,New Bethlehem,920 E Broad St,16242,167.2
REYNOLDS SD,Greenville,531 Reynolds Rd,16125,88.05
RICHLAND SD,Johnstown,"One Academic Avenue, Suite 200",15904,21.46
RIDGWAY AREA SD,Ridgway,62 School Dr,15853,184.2
RIDLEY SD,Folsom,901 Morton Ave Suite 100,19033,7.92
RINGGOLD SD,New Eagle,400 Main St,15067,55.29
RIVERSIDE BEAVER COUNTY SD,Ellwood City,318 Country Club Dr,16117,49.41
RIVERSIDE SD,Taylor,300 Davis St,18517,11.73
RIVERVIEW SD,Oakmont,701 10th St,15139,2.37
ROCHESTER AREA SD,Rochester,540 Reno St,15074,5.14
ROCKWOOD AREA SD,Rockwood,439 Somerset Ave,15557,146.38
ROSE TREE MEDIA SD,Media,308 N Olive St,19063,29.77
SAINT CLAIR AREA SD,Saint Clair,227 S Mill St,17970,47.48
SAINT MARYS AREA SD,Saint Marys,977 S Saint Marys Rd,15857,341.83
SALISBURY TOWNSHIP SD,Allentown,1140 Salisbury Rd,18103,11.27
SALISBURY-ELK LICK SD,Salisbury,196 Smith Avenue,15558,58.04
SAUCON VALLEY SD,Hellertown,2097 Polk Valley Rd,18055,25.85
SAYRE AREA SD,Sayre,333 West Lockhart Street,18840,33.32
SCHUYLKILL HAVEN AREA SD,Schuylkill Haven,501 East Main Street,17972,23.93
SCHUYLKILL VALLEY SD,Leesport,929 Lakeshore Drive,19533,51.98
SCRANTON SD,Scranton,425 N Washington Ave,18503,25.54
SELINSGROVE AREA SD,Selinsgrove,329 Seals Avenue,17870,104.84
SENECA VALLEY SD,Harmony,124 Seneca School Rd,16037,95.35
SHADE-CENTRAL CITY SD,Cairnbrook,203 McGregor Avenue,15924,69.3
SHALER AREA SD,Glenshaw,1800 Mount Royal Blvd,15116,14.7
SHAMOKIN AREA SD,Coal Township,2000 W State St,17866,70.57
SHANKSVILLE-STONYCREEK SD,Shanksville,1325 Corner Stone Road,15560,66.18
SHARON CITY SD,Sharon,215 Forker Blvd,16146,3.77
SHARPSVILLE AREA SD,Sharpsville,1 Blue Devil Way,16150,26.59
SHENANDOAH VALLEY SD,Shenandoah,805 West Centre Street,17976,12
SHENANGO AREA SD,New Castle,2501 Old Pittsburgh Rd,16101,24.78
