DistrictName,SchoolName,EnrollmentNumber,Year
Big Spring SD,Big Spring HS,739,2022-2023
Big Spring SD,Big Spring MS,593,2022-2023
Big Spring SD,Mount Rock Elem Sch,327,2022-2023
Big Spring SD,Newville El Sch,357,2022-2023
Big Spring SD,Oak Flat El Sch,394,2022-2023
Blackhawk SD,Blackhawk HS,762,2022-2023
Blackhawk SD,Blackhawk Intermediate Sch,708,2022-2023
Blackhawk SD,Highland MS,700,2022-2023
Blackhawk SD,Patterson Primary Sch,146,2022-2023
Blacklick Valley SD,Blacklick Valley El Ctr,318,2022-2023
Blacklick Valley SD,Blacklick Valley JSHS,282,2022-2023
Blairsville-Saltsburg SD,Blairsville El Sch,399,2022-2023
Blairsville-Saltsburg SD,River Valley HS,425,2022-2023
Blairsville-Saltsburg SD,River Valley MS,304,2022-2023
Blairsville-Saltsburg SD,Saltsburg El Sch,291,2022-2023
Bloomsburg Area SD,Beaver-Main El Sch,99,2022-2023
Bloomsburg Area SD,Bloomsburg Area HS,428,2022-2023
Bloomsburg Area SD,Bloomsburg Area MS,354,2022-2023
Bloomsburg Area SD,Memorial El Sch,432,2022-2023
Bloomsburg Area SD,W W Evans Memorial El Sch,220,2022-2023
Blue Mountain SD,Blue Mountain El East Sch,616,2022-2023
Blue Mountain SD,Blue Mountain HS,803,2022-2023
Blue Mountain SD,Blue Mountain MS,575,2022-2023
Blue Mountain SD,Elementary West,451,2022-2023
Blue Ridge SD,Blue Ridge El Sch,495,2022-2023
Blue Ridge SD,Blue Ridge HS,290,2022-2023
Blue Ridge SD,Blue Ridge MS,219,2022-2023
Boyertown Area SD,Boyertown Area MS-East,871,2022-2023
Boyertown Area SD,Boyertown Area MS-West,719,2022-2023
Boyertown Area SD,Boyertown Area SHS,2158,2022-2023
Boyertown Area SD,Boyertown El Sch,647,2022-2023
Boyertown Area SD,Colebrookdale El Sch,269,2022-2023
Boyertown Area SD,Earl El Sch,299,2022-2023
Boyertown Area SD,Gilbertsville El Sch,531,2022-2023
Boyertown Area SD,New Hanover-Upper Frederick El,583,2022-2023
Boyertown Area SD,Washington El Sch,510,2022-2023
Bradford Area SD,Bradford Area HS,754,2022-2023
Bradford Area SD,Floyd C Fretz MS,569,2022-2023
Bradford Area SD,George Blaisdell El Sch,567,2022-2023
Bradford Area SD,School Street El Sch,528,2022-2023
Brandywine Heights Area SD,Brandywine Heights El Sch,337,2022-2023
Brandywine Heights Area SD,Brandywine Heights HS,439,2022-2023
Brandywine Heights Area SD,Brandywine Heights Intrmd/MS,501,2022-2023
Brentwood Borough SD,Brentwood MS,271,2022-2023
Brentwood Borough SD,Brentwood SHS,361,2022-2023
Brentwood Borough SD,Elroy Avenue El Sch,317,2022-2023
Brentwood Borough SD,Moore Sch,207,2022-2023
Bristol Borough SD,Bristol HS,339,2022-2023
Bristol Borough SD,Bristol MS,198,2022-2023
Bristol Borough SD,Warren Snyder-John Girotti El Sch,627,2022-2023
Bristol Township SD,Benjamin Franklin MS,730,2022-2023
Bristol Township SD,Brookwood El Sch,935,2022-2023
Bristol Township SD,Keystone El Sch,943,2022-2023
Bristol Township SD,Mill Creek El Sch,1048,2022-2023
Bristol Township SD,Neil A Armstrong MS,725,2022-2023
Bristol Township SD,Truman SHS,1670,2022-2023
Brockway Area SD,Brockway Area Elementary Sch,466,2022-2023
Brockway Area SD,Brockway Area JSHS,418,2022-2023
Brookville Area SD,Brookville JSHS,602,2022-2023
Brookville Area SD,Hickory Grove El Sch,425,2022-2023
Brookville Area SD,Northside El Sch,116,2022-2023
Brookville Area SD,Pinecreek El Sch,221,2022-2023
Brownsville Area SD,Brownsville Area El Sch,700,2022-2023
Brownsville Area SD,Brownsville Area HS,434,2022-2023
Brownsville Area SD,Brownsville Area MS,352,2022-2023
Burgettstown Area SD,Burgettstown El Ctr,460,2022-2023
Burgettstown Area SD,Burgettstown MS/HS,527,2022-2023
Burrell SD,Bon Air El Sch,497,2022-2023
Burrell SD,Burrell HS,579,2022-2023
Burrell SD,Charles A Huston MS,416,2022-2023
Burrell SD,Stewart El Sch,252,2022-2023
Butler Area SD,Broad Street El Sch,212,2022-2023
Butler Area SD,Butler Area IHS,1342,2022-2023
Butler Area SD,Butler Area SHS,1989,2022-2023
Butler Area SD,Center Twp Sch,631,2022-2023
Butler Area SD,Connoquenessing El Sch,300,2022-2023
Butler Area SD,Emily Brittain El Sch,253,2022-2023
Butler Area SD,Mcquistion El Sch,534,2022-2023
Butler Area SD,Northwest El Sch,403,2022-2023
Butler Area SD,Summit El Sch,278,2022-2023
California Area SD,California Area El Sch,490,2022-2023
California Area SD,California Area MS,138,2022-2023
California Area SD,California Area SHS,286,2022-2023
Cambria Heights SD,Cambria Heights El Sch,536,2022-2023
Cambria Heights SD,Cambria Heights MS,306,2022-2023
Cambria Heights SD,Cambria Heights SHS,438,2022-2023
Cameron County SD,Cameron County JSHS,217,2022-2023
Cameron County SD,Woodland El Sch,314,2022-2023
Camp Hill SD,Camp Hill MS,298,2022-2023
Camp Hill SD,Camp Hill SHS,416,2022-2023
Camp Hill SD,Eisenhower El Sch,255,2022-2023
Camp Hill SD,Hoover El Sch,227,2022-2023
Canon-McMillan SD,Borland Manor El Sch,263,2022-2023
Canon-McMillan SD,Canon-McMillan SHS,1655,2022-2023
Canon-McMillan SD,Canonsburg MS,777,2022-2023
Canon-McMillan SD,Cecil Intrmd Sch,387,2022-2023
Canon-McMillan SD,Hills-Hendersonville El Sch,258,2022-2023
Canon-McMillan SD,Muse El Sch,759,2022-2023
Canon-McMillan SD,North Strabane Intrmd Sch,430,2022-2023
Canon-McMillan SD,South Central El,431,2022-2023
Canon-McMillan SD,Wylandville El Sch,308,2022-2023
Canton Area SD,Canton Area El Sch,442,2022-2023
Canton Area SD,Canton JSHS,408,2022-2023
Carbondale Area SD,Carbondale Area JSHS,779,2022-2023
Carbondale Area SD,Carbondale El Sch,773,2022-2023
Carlisle Area SD,Bellaire El Sch,407,2022-2023
Carlisle Area SD,Carlisle Area HS,1578,2022-2023
Carlisle Area SD,Crestview El Sch,516,2022-2023
Carlisle Area SD,Hamilton El Sch,346,2022-2023
Carlisle Area SD,Lamberton MS,543,2022-2023
Carlisle Area SD,Letort El Sch,231,2022-2023
Carlisle Area SD,Mooreland El Sch,368,2022-2023
Carlisle Area SD,Mt Holly Springs El Sch,223,2022-2023
Carlisle Area SD,North Dickinson El Sch,188,2022-2023
Carlisle Area SD,Wilson MS,577,2022-2023
Carlynton SD,Carlynton JSHS,596,2022-2023
Carlynton SD,Carnegie El Sch,359,2022-2023
Carlynton SD,Crafton El Sch,288,2022-2023
Carmichaels Area SD,Carmichaels Area El Ctr,445,2022-2023
Carmichaels Area SD,Carmichaels Area HS,285,2022-2023
Carmichaels Area SD,Carmichaels Area MS,227,2022-2023
Catasauqua Area SD,Catasauqua MS,448,2022-2023
Catasauqua Area SD,Catasauqua SHS,473,2022-2023
Catasauqua Area SD,Francis H Sheckler El Sch,540,2022-2023
Centennial SD,Davis El Sch,777,2022-2023
Centennial SD,Klinger MS,579,2022-2023
Centennial SD,Log College MS,632,2022-2023
Centennial SD,McDonald El Sch,814,2022-2023
Centennial SD,William Tennent HS,1774,2022-2023
Centennial SD,Willow Dale El Sch,707,2022-2023
Central Bucks SD,Barclay El Sch,694,2022-2023
Central Bucks SD,Bridge Valley El Sch,695,2022-2023
Central Bucks SD,Buckingham El Sch,450,2022-2023
Central Bucks SD,Butler El Sch,827,2022-2023
Central Bucks SD,Central Bucks HS-East,1365,2022-2023
Central Bucks SD,Central Bucks HS-South,1720,2022-2023
Central Bucks SD,Central Bucks HS-West,1504,2022-2023
Central Bucks SD,Cold Spring El Sch,500,2022-2023
Central Bucks SD,Doyle El Sch,432,2022-2023
Central Bucks SD,Gayman El Sch,414,2022-2023
Central Bucks SD,Groveland El Sch,811,2022-2023
Central Bucks SD,Holicong MS,938,2022-2023
Central Bucks SD,Jamison El Sch,587,2022-2023
Central Bucks SD,Kutz El Sch,487,2022-2023
Central Bucks SD,Lenape MS,839,2022-2023
Central Bucks SD,Linden El Sch,367,2022-2023
Central Bucks SD,Mill Creek El Sch,715,2022-2023
Central Bucks SD,Pine Run El Sch,494,2022-2023
Central Bucks SD,Tamanend MS,871,2022-2023
Central Bucks SD,Titus El Sch,624,2022-2023
Central Bucks SD,Tohickon MS,839,2022-2023
Central Bucks SD,Unami MS,777,2022-2023
Central Bucks SD,Warwick El Sch,532,2022-2023
Central Cambria SD,Cambria El Sch,450,2022-2023
Central Cambria SD,Central Cambria HS,559,2022-2023
Central Cambria SD,Central Cambria MS,379,2022-2023
Central Cambria SD,Jackson El Sch,208,2022-2023
Central Columbia SD,Central Columbia El Sch,699,2022-2023
Central Columbia SD,Central Columbia MS,612,2022-2023
Central Columbia SD,Central Columbia SHS,599,2022-2023
Central Dauphin SD,Central Dauphin East MS,779,2022-2023
Central Dauphin SD,Central Dauphin East SHS,1590,2022-2023
Central Dauphin SD,Central Dauphin MS,848,2022-2023
Central Dauphin SD,Central Dauphin SHS,1975,2022-2023
Central Dauphin SD,Chambers Hill El Sch,258,2022-2023
Central Dauphin SD,Lawnton El Sch,283,2022-2023
Central Dauphin SD,Linglestown El Sch,443,2022-2023
Central Dauphin SD,Linglestown MS,808,2022-2023
Central Dauphin SD,Middle Paxton El Sch,263,2022-2023
Central Dauphin SD,Mountain View El Sch,395,2022-2023
Central Dauphin SD,North Side El Sch,707,2022-2023
Central Dauphin SD,Paxtang El Sch,294,2022-2023
Central Dauphin SD,Paxtonia El Sch,689,2022-2023
Central Dauphin SD,Phillips El Sch,425,2022-2023
Central Dauphin SD,Rutherford El Sch,441,2022-2023
Central Dauphin SD,South Side El Sch,654,2022-2023
Central Dauphin SD,Swatara MS,539,2022-2023
Central Dauphin SD,Tri-Community El Sch,428,2022-2023
Central Dauphin SD,West Hanover El Sch,574,2022-2023
Central Fulton SD,McConnellsburg El Sch,429,2022-2023
Central Fulton SD,McConnellsburg HS,292,2022-2023
Central Fulton SD,McConnellsburg MS,212,2022-2023
Central Greene SD,Miller MS,229,2022-2023
Central Greene SD,Waynesburg Central El School,771,2022-2023
Central Greene SD,Waynesburg Central HS,510,2022-2023
Central Valley SD,Center Grange Primary School,457,2022-2023
Central Valley SD,Central Valley HS,709,2022-2023
Central Valley SD,Central Valley MS,543,2022-2023
Central Valley SD,Todd Lane El Sch,493,2022-2023
Central York SD,Central York HS,1815,2022-2023
Central York SD,Central York MS,881,2022-2023
Central York SD,Hayshire El Sch,509,2022-2023
Central York SD,North Hills El Sch,647,2022-2023
Central York SD,Roundtown El Sch,572,2022-2023
Central York SD,Sinking Springs El Sch,640,2022-2023
Central York SD,Stony Brook El Sch,515,2022-2023
Chambersburg Area SD,Benjamin Chambers El Sch,518,2022-2023
Chambersburg Area SD,Buchanan El Sch,253,2022-2023
Chambersburg Area SD,Chambersburg Area Career Magnet Sch,719,2022-2023
Chambersburg Area SD,Chambersburg Area MS - North,1045,2022-2023
Chambersburg Area SD,Chambersburg Area MS - South,1054,2022-2023
Chambersburg Area SD,Chambersburg Area SHS,2348,2022-2023
Chambersburg Area SD,Falling Spring El Sch,284,2022-2023
Chambersburg Area SD,Fayetteville El Sch,442,2022-2023
Chambersburg Area SD,Grandview El Sch,280,2022-2023
Chambersburg Area SD,Guilford Hills El Sch,193,2022-2023
Chambersburg Area SD,Hamilton Heights El Sch,560,2022-2023
Chambersburg Area SD,Lurgan El Sch,118,2022-2023
Chambersburg Area SD,Marion El Sch,214,2022-2023
Chambersburg Area SD,New Franklin El Sch,227,2022-2023
Chambersburg Area SD,Scotland El Sch,424,2022-2023
Chambersburg Area SD,South Hamilton El Sch,260,2022-2023
Chambersburg Area SD,Stevens El Sch,335,2022-2023
Charleroi SD,Charleroi Area El Ctr,584,2022-2023
Charleroi SD,Charleroi Area HS,476,2022-2023
Charleroi SD,Charleroi Area MS,329,2022-2023
Chartiers Valley SD,Chartiers Valley HS,1018,2022-2023
Chartiers Valley SD,Chartiers Valley Intrmd School,797,2022-2023
Chartiers Valley SD,Chartiers Valley MS,718,2022-2023
Chartiers Valley SD,Chartiers Valley Primary Sch,879,2022-2023
Chartiers-Houston SD,Allison Park El Sch,667,2022-2023
Chartiers-Houston SD,Chartiers-Houston JSHS,508,2022-2023
Cheltenham SD,Cedarbrook MS,681,2022-2023
Cheltenham SD,Cheltenham El Sch,401,2022-2023
Cheltenham SD,Cheltenham HS,1442,2022-2023
Cheltenham SD,Elkins Park Sch,626,2022-2023
Cheltenham SD,Glenside El Sch,411,2022-2023
Cheltenham SD,Myers El Sch,302,2022-2023
Cheltenham SD,Wyncote El Sch,362,2022-2023
Chester-Upland SD,Chester HS,945,2022-2023
Chester-Upland SD,Chester Upland Sch of Arts,431,2022-2023
Chester-Upland SD,Edgmont Scholars Academy,389,2022-2023
Chester-Upland SD,Main Street Sch,304,2022-2023
Chester-Upland SD,STEM at Showalter,487,2022-2023
Chester-Upland SD,Stetser El Sch,246,2022-2023
Chester-Upland SD,Toby Farms Intermediate School,299,2022-2023
Chestnut Ridge SD,Chestnut Ridge Central El Sch,324,2022-2023
Chestnut Ridge SD,Chestnut Ridge MS,419,2022-2023
Chestnut Ridge SD,Chestnut Ridge SHS,490,2022-2023
Chichester SD,Boothwyn El Sch,273,2022-2023
Chichester SD,Chichester MS,952,2022-2023
Chichester SD,Chichester SHS,997,2022-2023
Chichester SD,Hilltop El Sch,317,2022-2023
Chichester SD,Linwood El Sch,255,2022-2023
Chichester SD,Marcus Hook El Sch,254,2022-2023
Clairton City SD,Clairton El Sch,389,2022-2023
Clairton City SD,Clairton MS/HS,425,2022-2023
Clarion Area SD,Clarion Area El Sch,427,2022-2023
Clarion Area SD,Clarion Area JSHS,328,2022-2023
Clarion-Limestone Area SD,Clarion-Limestone Area JSHS,353,2022-2023
Clarion-Limestone Area SD,Clarion-Limestone El Sch,425,2022-2023
Claysburg-Kimmel SD,Claysburg-Kimmel El Sch,368,2022-2023
Claysburg-Kimmel SD,Claysburg-Kimmel Jr HS,130,2022-2023
Claysburg-Kimmel SD,Claysburg-Kimmel Sr HS,261,2022-2023
Clearfield Area SD,Clearfield Area El Sch,1059,2022-2023
Clearfield Area SD,Clearfield Area JSHS,1018,2022-2023
Coatesville Area SD,Caln El Sch,451,2022-2023
Coatesville Area SD,Coatesville Area SHS,1414,2022-2023
Coatesville Area SD,Coatesville Intermediate HS,891,2022-2023
Coatesville Area SD,East Fallowfield El Sch,320,2022-2023
Coatesville Area SD,Kings Highway El Sch,494,2022-2023
Coatesville Area SD,North Brandywine MS,368,2022-2023
Coatesville Area SD,Rainbow El Sch,683,2022-2023
Coatesville Area SD,Reeceville El Sch,350,2022-2023
Coatesville Area SD,Scott MS,389,2022-2023
Cocalico SD,Adamstown El Sch,403,2022-2023
Cocalico SD,Cocalico MS,682,2022-2023
Cocalico SD,Cocalico SHS,1008,2022-2023
Cocalico SD,Denver El Sch,437,2022-2023
Cocalico SD,Reamstown El Sch,396,2022-2023
Colonial SD,Colonial El Sch,811,2022-2023
Colonial SD,Colonial MS,1210,2022-2023
Colonial SD,Conshohocken El Sch,212,2022-2023
Colonial SD,Plymouth El Sch,603,2022-2023
Colonial SD,Plymouth-Whitemarsh SHS,1554,2022-2023
Colonial SD,Ridge Park El Sch,519,2022-2023
Colonial SD,Whitemarsh El Sch,480,2022-2023
Columbia Borough SD,Columbia HS,376,2022-2023
Columbia Borough SD,Columbia MS Hill Campus,200,2022-2023
Columbia Borough SD,Columbia MS Taylor Campus,189,2022-2023
Columbia Borough SD,Park El Sch,478,2022-2023
Commodore Perry SD,Commodore Perry JSHS,183,2022-2023
Commodore Perry SD,Commodore Perry Sch,216,2022-2023
Conemaugh Township Area SD,Conemaugh Twp Area El Sch,389,2022-2023
Conemaugh Township Area SD,Conemaugh Twp Area MS/SHS,493,2022-2023
Conemaugh Valley SD,Conemaugh Valley El Sch,392,2022-2023
Conemaugh Valley SD,Conemaugh Valley JSHS,319,2022-2023
Conestoga Valley SD,Brownstown El Sch,427,2022-2023
Conestoga Valley SD,Conestoga Valley SHS,1282,2022-2023
Conestoga Valley SD,Fritz El Sch,534,2022-2023
Conestoga Valley SD,Gerald G Huesken MS,965,2022-2023
Conestoga Valley SD,Leola El Sch,327,2022-2023
Conestoga Valley SD,Smoketown El Sch,435,2022-2023
Conewago Valley SD,Conewago Twp El Sch,506,2022-2023
Conewago Valley SD,Conewago Valley Intrmd Sch,863,2022-2023
Conewago Valley SD,New Oxford El Sch,586,2022-2023
Conewago Valley SD,New Oxford MS,610,2022-2023
Conewago Valley SD,New Oxford SHS,1259,2022-2023
Conneaut SD,Conneaut Area Senior High,588,2022-2023
Conneaut SD,Conneaut Lake MS,298,2022-2023
Conneaut SD,Conneaut Lake-Sadsbury El Sch,303,2022-2023
Conneaut SD,Conneaut Valley El Sch,316,2022-2023
Conneaut SD,Conneaut Valley MS,259,2022-2023
Connellsville Area SD,Bullskin El Sch,376,2022-2023
Connellsville Area SD,Connellsville Area MS,948,2022-2023
Connellsville Area SD,Connellsville Area SHS,1136,2022-2023
Connellsville Area SD,Dunbar Twp El Sch,623,2022-2023
Connellsville Area SD,Springfield El Sch,304,2022-2023
Connellsville Area SD,West Crawford El Sch,480,2022-2023
Conrad Weiser Area SD,Conrad Weiser East El Sch,458,2022-2023
Conrad Weiser Area SD,Conrad Weiser HS,842,2022-2023
Conrad Weiser Area SD,Conrad Weiser MS,717,2022-2023
Conrad Weiser Area SD,Conrad Weiser West El Sch,450,2022-2023
Cornell SD,Cornell El Sch,281,2022-2023
Cornell SD,Cornell HS,241,2022-2023
Cornwall-Lebanon SD,Cedar Crest HS,1635,2022-2023
Cornwall-Lebanon SD,Cedar Crest MS,1305,2022-2023
Cornwall-Lebanon SD,Cornwall El Sch,534,2022-2023
Cornwall-Lebanon SD,Ebenezer El Sch,539,2022-2023
Cornwall-Lebanon SD,South Lebanon El Sch,593,2022-2023
Cornwall-Lebanon SD,Union Canal El Sch,406,2022-2023
Corry Area SD,Corry Area HS,613,2022-2023
Corry Area SD,Corry Area Intrmd Sch,394,2022-2023
Corry Area SD,Corry Area MS,403,2022-2023
Corry Area SD,Corry Area Primary Sch,459,2022-2023
Coudersport Area SD,Coudersport Area El Sch,364,2022-2023
Coudersport Area SD,Coudersport Area JSHS,326,2022-2023
Council Rock SD,Churchville El Sch,556,2022-2023
Council Rock SD,Council Rock HS North,1622,2022-2023
Council Rock SD,Council Rock HS South,1940,2022-2023
Council Rock SD,Goodnoe El Sch,694,2022-2023
Council Rock SD,Hillcrest El Sch,491,2022-2023
Council Rock SD,Holland El Sch,445,2022-2023
Council Rock SD,Holland MS,919,2022-2023
Council Rock SD,Maureen M Welch El Sch,536,2022-2023
Council Rock SD,Newtown El Sch,582,2022-2023
Council Rock SD,Newtown MS,851,2022-2023
Council Rock SD,Richboro El Sch,369,2022-2023
Council Rock SD,Rolling Hills El Sch,388,2022-2023
Council Rock SD,Sol Feinstone El Sch,649,2022-2023
Council Rock SD,Wrightstown El Sch,418,2022-2023
Cranberry Area SD,Cranberry Area JSHS,557,2022-2023
Cranberry Area SD,Cranberry El Sch,606,2022-2023
Crawford Central SD,Cochranton El Sch,336,2022-2023
Crawford Central SD,Cochranton JSHS,357,2022-2023
Crawford Central SD,First District El Sch,336,2022-2023
Crawford Central SD,Meadville Area SHS,788,2022-2023
Crawford Central SD,Meadville MS,365,2022-2023
